version3_ID,version1.6_ID,cluster_1_pos,cluster_1_neg,cluster_2_pos,cluster_2_neg,cluster_3_pos,cluster_3_neg,cluster_4_pos,cluster_4_neg,aba_0.5hr_upx,aba_4.0hr_upx,aba_0.5hr_downx,aba_4.0hr_upx,cold_0.5hr_upx,cold_4.0hr_upx,cold_0.5hr_downx,cold_4.0hr_downx,drought_0.5hr_upx,drought_4.0hr_upx,drought_0.5hr_downx,drought_4hr_downx,salt_0.5hr_upx,salt_4.0hr_upx,salt_0.5hr_downx,salt_4hr_downx,sporeSigx,caulonemaSigx,chloronemaSigx,gametophoreSigx,rhizoidSigx,sporeUpx,caulonemaUpx,chloronemaUpx,gamUpx,rhizUpx
Pp3c10_10980,Pp1s120_106V6,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_10990,Pp1s120_105V6,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11000,Pp1s120_103V6,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_1100,Pp1s95_94V6,NA,NA,TRUE,NA,NA,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11010,Pp1s120_101V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11020,Pp1s120_100V6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11040,Pp1s120_99V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11080,Pp1s120_96V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11120,Pp1s120_90V6,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11150,Pp1s120_85V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11160,Pp1s120_83V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11170,Pp1s120_82V6,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11180,Pp1s120_80V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11190,Pp1s120_81V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11200,Pp1s120_79V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11210,Pp1s120_78V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
Pp3c10_11240,Pp1s120_75V6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pp3c10_11250,Pp1s120_74V6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
