Comparison,Expected_Overlap,Observed_Overlap,(Obs - Exp)^2/Exp
cluster_3_neg.aba_4.0hr_upx.,81.1618381618382,169,95.0636758586244
cluster_3_neg.aba_0.5hr_downx.,144.21860897723,412,497.209575703309
cluster_3_neg.aba_4.0hr_upx.1.,65.5099383375246,175,182.996258385818
cluster_3_neg.cold_0.5hr_upx.,104.829722002136,168,38.0663417408103
cluster_3_neg.cold_4.0hr_upx.,98.1267008853216,150,27.4220893677616
cluster_3_neg.cold_0.5hr_downx.,137.066416342278,430,626.047479203606
cluster_3_neg.cold_4.0hr_downx.,131.123531640773,410,593.120728456124
cluster_3_neg.drought_0.5hr_upx.,87.933962589135,159,57.4338005996614
cluster_3_neg.drought_4.0hr_upx.,125.526163491681,229,85.2956431067853
cluster_3_neg.drought_0.5hr_downx.,126.597264804161,401,594.774786006929
cluster_3_neg.drought_4hr_downx.,14.6499018223156,24,5.96757145492721
cluster_3_neg.salt_0.5hr_upx.,85.0661752041063,109,6.73391001753758
cluster_3_neg.salt_4.0hr_upx.,87.8303076234111,127,17.4685122071422
cluster_3_neg.salt_0.5hr_downx.,138.137517654759,432,625.13906429049
cluster_3_neg.salt_4hr_downx.,149.124944021496,464,664.853901726693
cluster_3_neg.sporeUpx.,3.35151055840711,6,2.09293576731646
cluster_3_neg.caulonemaUpx.,6.04653966722932,13,7.99641005606282
cluster_3_neg.chloronemaUpx.,2.28040924592649,12,41.4269695649693
cluster_3_neg.gamUpx.,4.00799200799201,1,2.25749350350547
cluster_3_neg.rhizUpx.,1.48572117537635,1,0.158794977226611
cluster_4_pos.cluster_4_neg.,38.3482035206173,0,38.3482035206173
cluster_4_pos.aba_0.5hr_upx.,14.8621378621379,55,108.399477379514
cluster_4_pos.aba_4.0hr_upx.,13.8371628371628,27,12.5213733634786
cluster_4_pos.aba_0.5hr_downx.,24.5876192772745,47,20.4295830350958
cluster_4_pos.aba_4.0hr_upx.1.,11.1686933755899,37,59.7434614314539
cluster_4_pos.cold_0.5hr_upx.,17.8722656653691,73,170.043751014647
cluster_4_pos.cold_4.0hr_upx.,16.7294774191326,86,286.823382369301
cluster_4_pos.cold_0.5hr_downx.,23.368252437218,32,3.18838844230082
cluster_4_pos.cold_4.0hr_downx.,22.3550587343691,26,0.594299347980402
cluster_4_pos.drought_0.5hr_upx.,14.9917324055255,82,299.505607794719
cluster_4_pos.drought_4.0hr_upx.,21.400771642151,29,2.69842006635855
cluster_4_pos.drought_0.5hr_downx.,21.5833821351063,27,1.35936754076015
cluster_4_pos.drought_4hr_downx.,2.49764029074374,3,0.10104148240213
cluster_4_pos.salt_0.5hr_upx.,14.5028075372903,78,278.007788511252
cluster_4_pos.salt_4.0hr_upx.,14.9740604223363,42,48.7777790028158
cluster_4_pos.salt_0.5hr_downx.,23.5508629301733,35,5.56594210718868
cluster_4_pos.salt_4hr_downx.,25.4240931482311,46,16.6522337809373
cluster_4_pos.sporeUpx.,0.571394123118261,0,0.571394123118261
cluster_4_pos.caulonemaUpx.,1.0308656860381,5,15.2823276743422
cluster_4_pos.chloronemaUpx.,0.388783630162941,0,0.388783630162941
cluster_4_pos.gamUpx.,0.683316683316683,2,2.53711785290733
cluster_4_pos.rhizUpx.,0.253298425712219,1,2.20121084241288
cluster_4_neg.aba_0.5hr_upx.,565.804195804196,1194,697.467377116766
cluster_4_neg.aba_4.0hr_upx.,526.783216783217,1068,556.045821323241
cluster_4_neg.aba_0.5hr_downx.,936.054979503255,1880,951.901566928741
cluster_4_neg.aba_4.0hr_upx.1.,425.194116228599,903,536.927614595279
cluster_4_neg.cold_0.5hr_upx.,680.400289365807,1264,500.570954444733
cluster_4_neg.cold_4.0hr_upx.,636.894140342416,1135,389.561516913672
cluster_4_neg.cold_0.5hr_downx.,889.633469978298,1944,1249.60314235606
cluster_4_neg.cold_4.0hr_downx.,851.06100795756,1899,1290.36123236149
cluster_4_neg.drought_0.5hr_upx.,570.737882806848,1100,490.800413174214
cluster_4_neg.drought_4.0hr_upx.,814.731130938027,1670,897.823601688525
cluster_4_neg.drought_0.5hr_downx.,821.683144441765,1717,975.549124098525
cluster_4_neg.drought_4hr_downx.,95.0856040511213,183,81.2840291880659
cluster_4_neg.salt_0.5hr_upx.,552.124427296841,1077,498.971523808987
cluster_4_neg.salt_4.0hr_upx.,570.065107306487,1185,663.33637580221
cluster_4_neg.salt_0.5hr_downx.,896.585483482035,1802,914.330492545707
cluster_4_neg.salt_4hr_downx.,967.899686520376,2064,1241.28141990553
cluster_4_neg.sporeUpx.,21.7530745116952,41,17.029507279681
cluster_4_neg.caulonemaUpx.,39.2452375210996,35,0.459216015723246
cluster_4_neg.chloronemaUpx.,14.8010610079576,39,39.563964233764
cluster_4_neg.gamUpx.,26.013986013986,18,2.46882472366343
cluster_4_neg.rhizUpx.,9.64311550518447,6,1.37634881351155
aba_0.5hr_upx.aba_4.0hr_upx.,204.158841158841,872,2184.63139245237
aba_0.5hr_upx.aba_0.5hr_downx.,362.775224775225,0,362.775224775225
aba_0.5hr_upx.aba_4.0hr_upx.1.,164.787212787213,450,493.644698601268
aba_0.5hr_upx.cold_0.5hr_upx.,263.694305694306,2034,11884.9068167756
aba_0.5hr_upx.cold_4.0hr_upx.,246.833166833167,1950,11751.9752260852
aba_0.5hr_upx.cold_0.5hr_downx.,344.784215784216,236,34.3229331913302
aba_0.5hr_upx.cold_4.0hr_downx.,329.835164835165,260,14.786022739546
aba_0.5hr_upx.drought_0.5hr_upx.,221.193806193806,1911,12909.2447106041
aba_0.5hr_upx.drought_4.0hr_upx.,315.755244755245,1511,4524.42215503806
aba_0.5hr_upx.drought_0.5hr_downx.,318.44955044955,312,0.130622577242061
aba_0.5hr_upx.drought_4hr_downx.,36.8511488511488,120,187.612372013153
aba_0.5hr_upx.salt_0.5hr_upx.,213.98001998002,1740,10882.964585374
aba_0.5hr_upx.salt_4.0hr_upx.,220.933066933067,1339,5658.15558608262
aba_0.5hr_upx.salt_0.5hr_downx.,347.478521478521,406,9.85604357290202
aba_0.5hr_upx.salt_4hr_downx.,375.116883116883,659,214.838701424597
aba_0.5hr_upx.sporeUpx.,8.43056943056943,5,1.39596817449644
aba_0.5hr_upx.caulonemaUpx.,15.2097902097902,22,3.03139940519251
aba_0.5hr_upx.chloronemaUpx.,5.73626373626374,22,46.1117426634668
aba_0.5hr_upx.gamUpx.,10.0819180819181,13,0.844601395433738
aba_0.5hr_upx.rhizUpx.,3.73726273726274,7,2.8484629511093
aba_4.0hr_upx.aba_0.5hr_downx.,337.756243756244,829,714.481027396297
aba_4.0hr_upx.aba_4.0hr_upx.1.,153.422577422577,0,153.422577422577
aba_4.0hr_upx.cold_0.5hr_upx.,245.508491508491,1062,2715.41884088226
aba_4.0hr_upx.cold_4.0hr_upx.,229.81018981019,966,2358.36120702459
